Sequence_Name	Frame 0 Max	Frame 0 Start	Frame 0 End	Frame 1 Max	Frame 1 Start	Frame 1 End	Frame 2 Max	Frame 2 Start	Frame 2 End
ENST00000456328.2|ENSG00000290825.1|-|OTTHUMT00000362751.1|DDX11L2-202|DDX11L2|1657|lncRNA|	438	501	939	297	21	318	240	1389	1629
ENST00000450305.2|ENSG00000223972.6|OTTHUMG00000000961.2|OTTHUMT00000002844.2|DDX11L1-201|DDX11L1|632|transcribed_unprocessed_pseudogene|	321	102	423	249	60	309	192	39	231
ENST00000488147.1|ENSG00000227232.5|OTTHUMG00000000958.1|OTTHUMT00000002839.1|WASH7P-201|WASH7P|1351|unprocessed_pseudogene|	261	627	888	408	252	660	543	27	570
